norad_id,cospar_id,sat_name,orbit_band,mass_kg,mass_class,platform_class,propulsion_class,propulsion_description,mission_type,mass_source,propulsion_source,mass_confidence,propulsion_confidence,mass_note,propulsion_note
41921,2017-003E,IRIDIUM 105,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
41922,2017-003F,IRIDIUM 104,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
41923,2017-003G,IRIDIUM 114,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
41924,2017-003H,IRIDIUM 108,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
41925,2017-003J,IRIDIUM 112,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
41926,2017-003K,IRIDIUM 111,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
41948,2017-008A,CARTOSAT 2D,LEO_450_800,714.0,200_1000kg,Small/Medium,,No propulsion reported,EO,UCS,,High,Low,UCS launch mass: 714.0 kg,No propulsion info found across queried sources
42063,2017-013A,SENTINEL 2B,LEO_450_800,1130.0,>1000kg,Small/Medium,,No propulsion reported,EO,UCS,,High,Low,UCS launch mass: 1130.0 kg,No propulsion info found across queried sources
42758,2017-034A,HXMT (HUIYAN),LEO_450_800,2500.0,>1000kg,Small/Medium,,No propulsion reported,Science,UCS,KeepTrack,High,Medium,UCS launch mass: 2500.0 kg,KeepTrack motor: ?
42767,2017-036C,CARTOSAT 2E,LEO_450_800,712.0,200_1000kg,Small/Medium,,No propulsion reported,EO,UCS,,High,Low,UCS launch mass: 712.0 kg,No propulsion info found across queried sources
42794,2017-036AF,DSAT,LEO_450_800,1.0,<10kg,Cube/Nano,Chemical,compact solid rocket motor,TechDemo,UCS,KeepTrack,High,Medium,UCS launch mass: 1.0 kg,KeepTrack motor: compact solid rocket motor
42803,2017-039A,IRIDIUM 113,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
42804,2017-039B,IRIDIUM 123,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
42805,2017-039C,IRIDIUM 120,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
42806,2017-039D,IRIDIUM 115,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
42807,2017-039E,IRIDIUM 118,LEO_450_800,860.0,200_1000kg,Small/Medium,,No propulsion reported,COMM,UCS,KeepTrack,High,Medium,UCS launch mass: 860.0 kg; dry mass: 678.0 kg,KeepTrack motor: ?
