norad_id,sat_name,t_from,t_to,dt_h,a_km,alt_km,e,i_deg,raan_deg,da_km,de,di_deg,draan_raw_deg,draan_res_deg,da_severity,score,flagged,flag_reason
54691,OBJECT K,2026-05-14 09:23:32.761824+00:00,2026-05-15 20:52:29.148384+00:00,35.48,6597.181,219.04,0.000975,97.5649,323.9012,-23.3561,0.000288,-0.0181,1.7032,-0.0286,large,23.3561,True,da=-23.36km[large]
54691,OBJECT K,2026-05-15 20:52:29.148384+00:00,2026-05-16 05:41:10.262976+00:00,8.81,6573.825,195.69,0.001263,97.5468,325.6044,-23.1555,-1.6e-05,0.0004,0.4657,0.0308,large,23.1555,True,da=-23.16km[large]
52390,JILIN-01 GAOFEN 3D 5,2026-04-11 19:14:36.818592+00:00,2026-04-17 21:41:01.312224+00:00,146.44,6643.286,265.15,0.000742,97.4803,219.4349,-22.9351,0.000186,0.0016,6.893,-0.0127,large,22.9351,True,da=-22.94km[large]
67478,TIANQI 39,2026-02-15 15:09:25.587360+00:00,2026-02-17 03:38:46.038336+00:00,36.49,7227.058,848.92,0.001672,44.9825,263.1826,22.807,-0.000226,-0.0005,-6.5453,0.3361,large,22.807,True,da=+22.81km[large] | dOmega_res=+0.336deg
49007,OBJECT E,2026-04-30 15:36:22.601376+00:00,2026-04-30 22:55:23.455776+00:00,7.32,6552.019,173.88,0.0012,97.2673,201.4003,-22.7178,0.000251,0.0013,0.3522,0.0003,large,22.7178,True,da=-22.72km[large]
67479,TIANQI 40,2026-02-09 04:36:40.072608+00:00,2026-02-17 03:25:38.693280+00:00,190.82,7226.64,848.5,0.001174,44.9786,292.4342,22.5318,-3.5e-05,0.0029,-35.8531,0.1434,large,22.5318,True,da=+22.53km[large] | dOmega_res=+0.143deg
65127,GEESAT 4-09,2026-01-30 16:42:36.590976+00:00,2026-02-03 23:23:34.941408+00:00,102.68,7046.14,668.0,0.002594,49.9943,118.443,-22.4827,0.0001,0.0056,-19.4607,-0.0139,large,22.4827,True,da=-22.48km[large]
66914,OBJECT B,2026-01-09 01:33:03.612096+00:00,2026-01-09 14:38:22.289280+00:00,13.09,7024.959,646.82,0.004817,80.3889,96.0675,22.1675,-0.00302,0.0056,-0.6433,-0.0,large,22.1675,True,da=+22.17km[large] | de=-0.00302
66913,OBJECT A,2026-01-09 01:36:35.081280+00:00,2026-01-09 14:41:50.297280+00:00,13.09,7024.399,646.26,0.005168,80.3969,96.0858,22.1579,-0.003125,0.0022,-0.6414,0.0016,large,22.1579,True,da=+22.16km[large] | de=-0.00313
65261,OBJECT C,2026-04-28 03:21:24.983136+00:00,2026-04-28 19:16:47.959968+00:00,15.92,6919.932,541.8,0.008715,98.1746,245.57,-0.0035,-0.000678,-0.44,1.1853,0.4975,none,22.0,True,di=-0.4400deg | dOmega_res=+0.497deg
51844,OBJECT W,2026-04-30 17:45:01.802016+00:00,2026-05-01 23:18:23.120352+00:00,29.56,6593.606,215.47,0.001087,97.3525,217.5044,-21.8014,0.000194,-0.0024,1.4023,-0.0035,large,21.8014,True,da=-21.80km[large]
