NORAD_ID,COSPAR_ID,NAME,MEAN_ALT_KM
21418,1991-041A,COSMOS 2150,790.1
21419,1991-041B,SL-8 R/B,781.4
21422,1991-042A,COSMOS 2151,573.5
21423,1991-042B,SL-14 R/B,630.7
21527,1991-045A,REX,820.5
21528,1991-045B,SCOUT G-1 R/B,807.0
21574,1991-050A,ERS 1,767.4
21575,1991-050B,OSCAR 22 (UoSAT 5),758.0
21576,1991-050C,ORBCOMM-X,754.0
21577,1991-050D,TUBSAT A,763.9
21578,1991-050E,SARA,703.5
21610,1991-050F,ARIANE 40 R/B,756.1
21688,1991-061A,IRS 1B,908.4
21689,1991-061B,SL-3 R/B,893.0
21798,1991-082A,DMSP 5D-2 F11 (USA 73),841.2
21891,1992-009B,DELTA 2 R/B(1),594.2
21949,1992-023A,USA 81,791.0
22007,1992-036B,SL-8 R/B,977.2
22080,1992-053A,COSMOS 2208,793.9
22081,1992-053B,SL-8 R/B,782.8
22109,1992-058B,DELTA 2 R/B(1),636.2
22219,1992-076A,COSMOS 2219,852.6
22220,1992-076B,SL-16 R/B,843.1
22236,1992-080A,COSMOS 2221,585.6
