t,d,lonP,lonS
2024-06-21 18:00:00+00:00,88.29040439057364,172.8805129385487,172.99965239056485
2024-06-22 00:00:00+00:00,70.21171209055878,172.90059818457883,172.99598993669264
2024-06-22 06:00:00+00:00,92.95400011556951,172.90704555976004,173.03260124707333
2024-06-22 12:00:00+00:00,109.4126604415317,172.89477817207853,173.0434271533029
2024-06-22 18:00:00+00:00,87.11070430896514,172.89432688145462,173.01184758334944
2024-06-23 00:00:00+00:00,69.36467633148818,172.91386413098417,173.0081010013797
2024-06-23 06:00:00+00:00,92.64463001618175,172.92064010875197,173.04577055442098
2024-06-23 12:00:00+00:00,108.70638703706108,172.90901567924243,173.05670229589361
2024-06-23 18:00:00+00:00,86.02170033686536,172.90880070277626,173.02482839112406
2024-06-24 00:00:00+00:00,68.50312569408287,172.9275721512481,173.0206336313342
2024-06-24 06:00:00+00:00,92.12702240547945,172.93431956472068,173.05874173644804
2024-06-24 12:00:00+00:00,107.8462338472048,172.92344128130458,173.06995622905453
2024-06-24 18:00:00+00:00,84.95908436056037,172.92358275421566,173.038155453792
2024-06-25 00:00:00+00:00,67.73108661063293,172.94136144865115,173.0333691933331
2024-06-25 06:00:00+00:00,91.641165301315,172.94780387509263,173.07155985356258
2024-06-25 12:00:00+00:00,107.10712631149471,172.93755283295104,173.08306037900684
2024-06-25 18:00:00+00:00,83.81410040928634,172.9385421553123,173.05154164492785
2024-06-26 00:00:00+00:00,66.97723731374568,172.95481484156028,173.04579148295318
